0:00:56.05,0:00:57.66,「包在我身上 兄弟」,任せときな　プラザー
0:03:08.73,0:03:09.78,「下落何方」,何処へ
0:04:05.92,0:04:08.48,「公主寝宫 戒备森严」,姫の部屋の前も陣取られるとは
0:04:24.95,0:04:28.24,「但这个大小恐怕只能让婴孩通过」,しかし　この大きさでは赤子でもない限り
0:06:36.30,0:06:39.59,「小女身体贫瘠 定是不合您口味的」,おいらなんか食っても　おいしくないでやんすよ
0:07:26.34,0:07:28.05,「跨越我的尸体前进吧」,俺の屍を超えてゆけ
0:10:16.45,0:10:19.26,「看来并不能径直抵达目的地」,ひとすじなわじゃ通しちゃくれねえみてえだ
0:10:31.38,0:10:33.50,「能让人看见红外线的眼药水」,赤外線が見える目薬
0:10:48.01,0:10:49.09,「够了 快回来」,もうよい　帰還せよ
0:11:48.18,0:11:51.23,「在那里的修炼」「是」「楠莉学姐的」,そこでの修練　が　楠莉先輩の
0:12:46.25,0:12:49.49,「依我看」「高度堪比世界树」,世界樹のごとき高さ　かとを見受けする
0:13:59.07,0:14:00.53,「多加注意」,用心するがよい
0:15:49.47,0:15:50.20,「听命」,よい
0:16:57.16,0:16:59.83,「神域中满是寂静」,神域には静寂が訪れた
0:17:11.78,0:17:13.75,「发出了『喵喵』的哭声」,にゃーにゃーと泣いた
